value, frequency
1, 9.6e-05
2, 0.000296
3, 0.000494
4, 0.000684
5, 0.000884
6, 0.00109
7, 0.001236
8, 0.001484
9, 0.001718
10, 0.001794
11, 0.002
12, 0.002344
13, 0.002492
14, 0.00261
15, 0.003052
16, 0.003106
17, 0.00338
18, 0.003468
19, 0.003898
20, 0.003796
21, 0.00407
22, 0.004366
23, 0.004612
24, 0.004556
25, 0.00477
26, 0.005226
27, 0.005208
28, 0.005512
29, 0.00567
30, 0.005878
31, 0.006146
32, 0.006418
33, 0.006584
34, 0.006762
35, 0.006818
36, 0.006992
37, 0.007088
38, 0.007668
39, 0.00768
40, 0.007884
41, 0.008148
42, 0.008208
43, 0.008422
44, 0.008642
45, 0.00885
46, 0.00905
47, 0.009336
48, 0.009276
49, 0.009334
50, 0.009832
51, 0.01016
52, 0.010376
53, 0.010512
54, 0.010496
55, 0.011076
56, 0.011184
57, 0.011246
58, 0.011594
59, 0.011836
60, 0.011828
61, 0.012028
62, 0.012218
63, 0.01263
64, 0.012778
65, 0.012534
66, 0.01313
67, 0.013016
68, 0.013474
69, 0.013494
70, 0.013884
71, 0.013954
72, 0.014316
73, 0.01422
74, 0.01471
75, 0.01489
76, 0.01535
77, 0.015122
78, 0.015722
79, 0.015978
80, 0.016002
81, 0.016276
82, 0.016306
83, 0.016804
84, 0.016294
85, 0.017352
86, 0.017056
87, 0.01751
88, 0.01755
89, 0.017478
90, 0.017896
91, 0.018372
92, 0.017986
93, 0.018544
94, 0.018796
95, 0.01883
96, 0.019068
97, 0.019478
98, 0.019428
99, 0.019866
100, 0.020424
