value, frequency
1, 0.010186
2, 0.010012
3, 0.009784
4, 0.00999
5, 0.009882
6, 0.010132
7, 0.009922
8, 0.00978
9, 0.01022
10, 0.009944
11, 0.01025
12, 0.009716
13, 0.009686
14, 0.010284
15, 0.009904
16, 0.009942
17, 0.009882
18, 0.009918
19, 0.009892
20, 0.010176
21, 0.010138
22, 0.009664
23, 0.009914
24, 0.009818
25, 0.010122
26, 0.010028
27, 0.009962
28, 0.009852
29, 0.010216
30, 0.010108
31, 0.009822
32, 0.009894
33, 0.009732
34, 0.010196
35, 0.010056
36, 0.01019
37, 0.01009
38, 0.01001
39, 0.009918
40, 0.010386
41, 0.009898
42, 0.009796
43, 0.01024
44, 0.010202
45, 0.009924
46, 0.010028
47, 0.010204
48, 0.010186
49, 0.009992
50, 0.00991
51, 0.00966
52, 0.010104
53, 0.010274
54, 0.00983
55, 0.01012
56, 0.010076
57, 0.00978
58, 0.009888
59, 0.009912
60, 0.009998
61, 0.009872
62, 0.009788
63, 0.009796
64, 0.009678
65, 0.01047
66, 0.010108
67, 0.009794
68, 0.010146
69, 0.00998
70, 0.010022
71, 0.009892
72, 0.009764
73, 0.009882
74, 0.00985
75, 0.009944
76, 0.009898
77, 0.010098
78, 0.009838
79, 0.009942
80, 0.01016
81, 0.010124
82, 0.010094
83, 0.009978
84, 0.009926
85, 0.01026
86, 0.010278
87, 0.010018
88, 0.009982
89, 0.009944
90, 0.00992
91, 0.010068
92, 0.009938
93, 0.010118
94, 0.010344
95, 0.010036
96, 0.010102
97, 0.00995
98, 0.010092
99, 0.010288
100, 0.009978
