value, frequency
1, 0.019916
2, 0.019506
3, 0.019586
4, 0.018926
5, 0.019526
6, 0.018948
7, 0.018714
8, 0.018772
9, 0.018152
10, 0.018314
11, 0.017688
12, 0.017486
13, 0.017796
14, 0.017504
15, 0.016802
16, 0.017076
17, 0.016814
18, 0.016496
19, 0.016456
20, 0.016008
21, 0.0159
22, 0.015654
23, 0.0152
24, 0.015542
25, 0.015216
26, 0.014716
27, 0.014808
28, 0.014238
29, 0.01447
30, 0.014204
31, 0.013978
32, 0.013682
33, 0.013342
34, 0.013468
35, 0.013036
36, 0.012962
37, 0.012626
38, 0.012392
39, 0.012164
40, 0.011862
41, 0.0116
42, 0.011648
43, 0.0115
44, 0.011526
45, 0.01114
46, 0.011012
47, 0.010524
48, 0.010724
49, 0.010384
50, 0.010322
51, 0.009764
52, 0.009842
53, 0.009564
54, 0.009292
55, 0.00936
56, 0.008756
57, 0.008726
58, 0.00846
59, 0.008482
60, 0.008098
61, 0.00773
62, 0.007652
63, 0.00756
64, 0.007286
65, 0.007128
66, 0.006874
67, 0.00674
68, 0.006464
69, 0.006366
70, 0.006094
71, 0.006028
72, 0.005838
73, 0.005254
74, 0.005186
75, 0.005064
76, 0.004834
77, 0.004616
78, 0.004624
79, 0.004308
80, 0.004256
81, 0.003896
82, 0.003802
83, 0.003334
84, 0.003246
85, 0.00308
86, 0.002884
87, 0.002552
88, 0.002498
89, 0.002252
90, 0.002028
91, 0.001814
92, 0.001712
93, 0.00149
94, 0.001302
95, 0.001162
96, 0.000872
97, 0.00067
98, 0.000416
99, 0.000308
100, 0.00011
