n,std,worst
100,65407700,70556400
10099,86678600,94143700
20098,87822600,99546600
30097,88732500,102089300
40096,92423000,102168100
50095,91066600,105800100
60094,94248400,107811500
70093,94674200,106447700
80092,95693200,107307700
90091,96072700,105588900
100090,95137100,109934600
110089,96492500,108913100
120088,95446700,113814300
130087,94962600,113699400
140086,96587100,108996200
150085,97631100,108872200
160084,98644000,110863200
170083,97182300,110536200
180082,95656300,109534900
190081,97798000,109547500
200080,98743000,116156700
210079,99135500,112577200
220078,98230500,113779900
230077,98284800,114029100
240076,97793400,113003200
250075,97813500,114456900
260074,97406100,113764100
270073,97649900,114929000
280072,98981900,113106400
290071,99590600,115521900
300070,97154500,113988100
310069,99740900,113083400
320068,99775200,113701800
330067,99214700,113806500
340066,97997300,115460900
350065,99808500,113307400
360064,98354300,115397200
370063,100382300,114964200
380062,100199600,116334200
390061,101411000,112970000
400060,99690500,117502500
410059,103116900,117716300
420058,99358200,120243900
430057,99712500,118391000
440056,99884000,120924700
450055,99968600,117742500
460054,102915000,118738800
470053,98966800,118267600
480052,99970300,117352100
490051,101934500,119583100
500050,101027100,117734400
510049,100499500,117205400
520048,101885300,117417100
530047,99924900,120340800
540046,102505100,118352100
550045,99421900,119546900
560044,101649700,117594500
570043,101145500,118408100
580042,103423400,118910300
590041,102061700,122255200
600040,101365300,117509100
610039,101091400,119831200
620038,102555500,116865800
630037,104670000,116962300
640036,102757600,119210000
650035,101864100,117171700
660034,103691500,117643300
670033,102419000,120692800
680032,101734400,119295500
690031,102695900,117475400
700030,102429000,117662100
710029,102050500,117802700
720028,101173800,117551800
730027,103511400,117346800
740026,102140200,117434300
750025,101636900,119037000
760024,102435000,118261700
770023,102981300,117211200
780022,102637900,117234500
790021,102392100,123634800
800020,103337000,124212200
810019,102704100,122202800
820018,102320600,121842700
830017,102415200,121398400
840016,103010900,122750900
850015,102879200,122729700
860014,102063700,124382100
870013,103665900,122291300
880012,102328000,124059300
890011,101272100,123234400
900010,103066400,121465400
910009,102630500,123444900
920008,104535300,122914800
930007,102676800,122526900
940006,102217900,123442300
950005,106091200,121560200
960004,102256300,123988600
970003,102617900,122740800
980002,103538400,122037600
990001,103254800,122784400
1000000,103022900,123020500
