n,std,worst
100,0,0
20098,263341000,299931000
40096,500030000,567587000
60094,747464000,829877000
80092,1004261000,1128268000
100090,1284317000,1417927000
120088,1526115000,1637656000
140086,1772646000,1943356000
160084,2008826000,2157011000
180082,2246442000,2424892000
200080,1954019000,2706402000
220078,801994000,3005385000
240076,645080000,3263792000
260074,496577000,3514428000
280072,772026000,3791658000
300070,941231000,4056370000
320068,1141913000,4332098000
340066,634246000,4630190000
360064,1452105000,4913662000
380062,1202571000,5166874000
400060,1032049000,5427394000
420058,1138487000,5711698000
440056,1104015000,5994215000
460054,752913000,6275181000
480052,888941000,6530420000
500050,1083065000,6777653000
520048,1271005000,7069415000
540046,929525000,7384010000
560044,2098034000,7604292000
580042,1378581000,7870714000
600040,1110012000,8185424000
620038,1312178000,8419732000
640036,1179497000,8656073000
660034,4067124000,8935111000
680032,1452749000,9226278000
700030,2037021000,9514087000
720028,2170553000,9797003000
740026,984263000,10043061000
760024,1600445000,10311073000
780022,2357129000,10596661000
800020,1252426000,10888869000
820018,1608371000,11134963000
840016,2587077000,11426406000
860014,1314632000,11697709000
880012,3386134000,11994349000
900010,3328921000,12254465000
920008,2355624000,12495634000
940006,1632352000,12773210000
960004,3123425000,13087515000
980002,3849156000,13322643000
1000000,1302438000,13574888000
