n,std,worst
100,0,0
50095,8000,1003000000
100090,12666.7,4041000000
150085,5000,8935000000
200080,10333.3,15883000000
250075,10666.7,24828000000
300070,10333.3,35846000000
350065,10333.3,48827000000
400060,20000,63726000000
450055,0,81041000000
500050,0,100020000000
550045,5000,121140000000
600040,10333.3,144715000000
650035,0,172327000000
700030,15333.3,196434000000
750025,0,225846000000
800020,0,256764000000
850015,0,291923000000
900010,0,326252000000
950005,0,363048000000
1000000,15333.3,401534000000
