n,std,worst
100,887300,896500
20098,115591800,113026100
40096,225647700,228279600
60094,332216200,340300400
80092,437080700,456884100
100090,554750400,573680300
120088,655008100,682336800
140086,744420500,801841500
160084,837908500,906144300
180082,934129700,1026522100
200080,1029483100,1133594300
220078,1117562300,1240030600
240076,1211205800,1379547400
260074,1309120500,1470684900
280072,1391881900,1593618200
300070,1473994900,1697804500
320068,1559512600,1838926700
340066,1646377700,1912422900
360064,1731732900,2067835100
380062,1811350700,2176845600
400060,1888025300,2268032200
420058,1947210900,2390054300
440056,2032063600,2477394300
460054,2101211100,2623690800
480052,2151236600,2750758700
500050,2239088800,2858412500
520048,2311914800,2988716400
540046,2409955200,3081391500
560044,2478808800,3214343500
580042,2516719000,3315004900
600040,2558747100,3441407700
620038,2659619700,3541388400
640036,2681870000,3618062600
660034,2769635800,3775424900
680032,2831692400,3925679200
700030,2897207900,4011221100
720028,2967015000,4143654900
740026,2992266600,4240889700
760024,3042155100,4361142400
780022,3117896100,4482516400
800020,3137312400,4588598100
820018,3200910100,4724150900
840016,3279985700,4824821700
860014,3319418800,4924962100
880012,3362464200,5046607900
900010,3390506600,5166812200
920008,3468215700,5267161400
940006,3505670300,5410690700
960004,3516261200,5513122200
980002,3585719000,5707856200
1000000,3612052400,5726756100
